,fipscounty,nppes_provider_first_name,nppes_provider_last_org_name,sum
95,47001,MEGAN,COUCH,2910.0
128,47003,JONATHAN,WHITE,2731.0
57,47005,VIRGINIA,PEEBLES,3248.0
22,47007,MATTHEW,MIKO,4214.0
198,47009,STEVEN,MYNATT,2392.0
47,47011,DENNIS,FORD,3452.0
8,47013,ALICIA,TAYLOR,5088.0
291,47015,DENISE,DINGLE,2045.0
49,47017,CRYSTAL,HILL,3419.0
133,47019,JOHN,POWELL,2689.0
147,47021,EDITH,DEAN,2607.0
460,47023,ALEXANDER,WALKER,1633.0
273,47025,RONALD,FEJERAN,2109.0
227,47027,KENNETH,BEATY,2293.0
137,47029,THOMAS,CONWAY,2646.0
16,47031,ALLEN,TATE,4653.0
1069,47033,CYNTHIA,SWAIM,950.0
1,47035,JUSTIN,KINDRICK,8405.0
72,47037,HOLLY,DUNN,3060.0
1453,47039,TRACY,PEVAHOUSE,729.0
292,47041,DENISE,DINGLE,2045.0
91,47043,RICHARD,MUENCH,2932.0
203,47045,KELLY,MCCALLUM,2375.0
163,47047,ASHLEY,PENNINGTON,2543.0
4,47049,RICHARD,CLARK,5607.0
17,47051,ALLEN,TATE,4653.0
253,47053,JAMES,WILLIAMS,2157.0
154,47055,PATSY,BURKS,2592.0
906,47057,AMANULLAH,SIDDIQI,1063.0
76,47059,PAULA,RENNER,3029.0
35,47061,TONYA,ELLIS,3872.0
93,47063,JENNIFER,JENKINS,2925.0
14,47065,BRIAN,HARNER,4742.0
274,47067,RONALD,FEJERAN,2109.0
339,47069,FELIX,NNAJI,1917.0
184,47071,TERESA,DAILEY,2472.0
50,47073,ASHLEY,WINEGAR,3419.0
164,47075,ASHLEY,PENNINGTON,2543.0
997,47077,ALAN,WEATHERFORD,997.0
43,47079,LESLIE,ELLIS,3653.0
92,47081,RICHARD,MUENCH,2932.0
1311,47083,LAWRENCE,JACKSON,799.0
963,47085,GEORGE,MATHAI,1009.0
28,47087,RACHEL,FORSYTHE,4081.0
94,47089,JENNIFER,JENKINS,2925.0
313,47091,JAMES,SHIPLEY,1987.0
2,47093,SHARON,CATHERS,7274.0
6311,47095,CAROL,GUESS,133.0
173,47097,JOE,HUNT,2501.0
155,47099,PATSY,BURKS,2592.0
523,47101,HARISH,VEERAMACHANENI,1496.0
636,47103,CHARLES,HANEY,1323.0
359,47105,CHARLIE,BARTLETT,1870.0
53,47107,TRACY,STRATTON,3380.0
185,47109,TERESA,DAILEY,2472.0
777,47111,DOROTHY,CROWDER,1165.0
51,47113,CRYSTAL,HILL,3419.0
36,47115,TONYA,ELLIS,3872.0
59,47117,DOUG,YOUNG,3167.0
60,47119,DOUG,YOUNG,3167.0
233,47121,SAMANTHA,BRYANT,2257.0
54,47123,TRACY,STRATTON,3380.0
13,47125,SAMSON,ORUSA,4793.0
26,47127,IMHONA,EKO-ISENALUMHE,4101.0
126,47129,MANCEL,WAKHAM,2734.0
18,47131,TRACEY,KIZER,4580.0
29,47133,RACHEL,FORSYTHE,4081.0
542,47135,MUHAMMAD,MIRZA,1464.0
5,47137,RICHARD,CLARK,5607.0
631,47139,DONALD,WATTERS,1329.0
30,47141,RACHEL,FORSYTHE,4081.0
24,47143,MATTHEW,MIKO,4214.0
7,47145,DWIGHT,WILLETT,5221.0
148,47147,EDITH,DEAN,2607.0
6,47149,JAMES,LADSON,5423.0
0,47151,DAVID,COFFEY,9384.0
497,47153,FREDRICK,DIBRELL,1550.0
114,47155,JENNIFER,LANE,2818.0
11,47157,SHERYL,KIRK,4874.0
64,47159,KERI,RAYMOND,3128.0
1324,47161,MICHAEL,CARTER,792.0
3,47163,MICHELLE,PAINTER,5709.0
10,47165,AMY,BOWSER,4979.0
457,47167,ABDULLAH,BAIG,1652.0
65,47169,KERI,RAYMOND,3128.0
317,47171,JAMES,SHIPLEY,1987.0
389,47173,KAREN,BEETS,1807.0
498,47175,FREDRICK,DIBRELL,1550.0
293,47177,DENISE,DINGLE,2045.0
134,47179,JOHN,POWELL,2689.0
156,47181,PATSY,BURKS,2592.0
19,47183,TRACEY,KIZER,4580.0
146,47185,BRITISH,BATES,2624.0
61,47187,DOUG,YOUNG,3167.0
66,47189,KERI,RAYMOND,3128.0
